amfi_code,fund_house,scheme_name,category,sub_category,plan,launch_date,benchmark,expense_ratio_pct,exit_load_pct,min_sip_amount,min_lumpsum_amount,fund_manager,risk_category,sebi_category_code,,,,,,,,,,,
119551,SBI Mutual Fund,SBI Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Regular,2/14/2006,NIFTY 100 TRI,1.54,1,500,1000,Sohini Andani,Moderate,EC01,,,,,,,,,,,
119552,SBI Mutual Fund,SBI Bluechip Fund - Direct Plan - Growth,Equity,Large Cap,Direct,1/1/2013,NIFTY 100 TRI,0.66,1,500,1000,Sohini Andani,Moderate,EC01,,,,,,,,,,,
119598,SBI Mutual Fund,SBI Small Cap Fund - Regular Plan - Growth,Equity,Small Cap,Regular,9/9/2009,BSE 250 SmallCap TRI,1.43,1,500,1000,R. Srinivasan,Very High,EC03,,,,,,,,,,,
119599,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth,Equity,Small Cap,Direct,1/1/2013,BSE 250 SmallCap TRI,0.72,1,500,1000,R. Srinivasan,Very High,EC03,,,,,,,,,,,
119120,SBI Mutual Fund,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Gilt,Regular,12/30/2000,CRISIL Dynamic Gilt Index,0.77,0,500,1000,Dinesh Ahuja,Low,DC02,,,,,,,,,,,
100016,HDFC Mutual Fund,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Large Cap,Regular,9/11/1996,NIFTY 100 TRI,1.55,1,500,1000,Rahul Baijal,Moderate,EC01,,,,,,,,,,,
125497,HDFC Mutual Fund,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Large Cap,Direct,1/1/2013,NIFTY 100 TRI,0.92,1,500,1000,Rahul Baijal,Moderate,EC01,,,,,,,,,,,
100033,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Mid Cap,Regular,6/25/2007,NIFTY Midcap 150 TRI,1.38,1,500,1000,Chirag Setalvad,High,EC02,,,,,,,,,,,
125498,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Mid Cap,Direct,1/1/2013,NIFTY Midcap 150 TRI,0.78,1,500,1000,Chirag Setalvad,High,EC02,,,,,,,,,,,
100025,HDFC Mutual Fund,HDFC Short Term Debt Fund - Regular - Growth,Debt,Short Duration,Regular,6/25/2002,CRISIL Short Term Bond Index,0.56,0.5,500,1000,Anil Bamboli,Low,DC02,,,,,,,,,,,
120503,ICICI Prudential MF,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,5/23/2008,NIFTY 100 TRI,1.42,1,500,1000,Anish Tawakley,Moderate,EC01,,,,,,,,,,,
120504,ICICI Prudential MF,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,1/1/2013,NIFTY 100 TRI,0.8,1,500,1000,Anish Tawakley,Moderate,EC01,,,,,,,,,,,
120505,ICICI Prudential MF,ICICI Pru Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,10/28/2004,NIFTY Midcap 150 TRI,1.36,1,500,1000,Sankaran Naren,High,EC02,,,,,,,,,,,
120506,ICICI Prudential MF,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Value,Regular,8/16/2004,NIFTY 500 TRI,1.41,1,500,1000,Sankaran Naren,Moderately High,EC06,,,,,,,,,,,
120507,ICICI Prudential MF,ICICI Pru Liquid Fund - Regular - Growth,Debt,Liquid,Regular,11/17/2001,CRISIL Liquid Fund AI Index,0.74,0,500,5000,Rahul Goswami,Low,DC01,,,,,,,,,,,
118632,Nippon India MF,Nippon India Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,8/8/2004,NIFTY 100 TRI,1.51,1,500,1000,Sailesh Raj Bhan,Moderate,EC01,,,,,,,,,,,
118633,Nippon India MF,Nippon India Large Cap Fund - Direct - Growth,Equity,Large Cap,Direct,1/1/2013,NIFTY 100 TRI,0.72,1,500,1000,Sailesh Raj Bhan,Moderate,EC01,,,,,,,,,,,
118634,Nippon India MF,Nippon India Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,9/16/2010,BSE 250 SmallCap TRI,1.53,1,500,1000,Samir Rachh,Very High,EC03,,,,,,,,,,,
118635,Nippon India MF,Nippon India ETF Nifty 50 BeES,Equity,Index/ETF,Direct,12/28/2001,NIFTY 50 TRI,0.89,0,500,100,Vishal Jain,Moderate,EI01,,,,,,,,,,,
118636,Nippon India MF,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Gilt,Regular,8/19/1999,CRISIL Dynamic Gilt Index,0.55,0,500,1000,Vivek Sharma,Low,DC02,,,,,,,,,,,
120841,Kotak Mahindra MF,Kotak Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,12/29/2005,NIFTY 100 TRI,1.59,1,500,1000,Harsha Upadhyaya,Moderate,EC01,,,,,,,,,,,
120842,Kotak Mahindra MF,Kotak Emerging Equity Fund - Regular - Growth,Equity,Mid Cap,Regular,3/30/2007,NIFTY Midcap 150 TRI,1.56,1,500,1000,Pankaj Tibrewal,High,EC02,,,,,,,,,,,
120843,Kotak Mahindra MF,Kotak Flexicap Fund - Regular - Growth,Equity,Flexi Cap,Regular,8/11/2009,NIFTY 500 TRI,1.45,1,500,1000,Pankaj Tibrewal,Moderately High,EC04,,,,,,,,,,,
120844,Kotak Mahindra MF,Kotak Liquid Fund - Regular - Growth,Debt,Liquid,Regular,3/3/2004,CRISIL Liquid Fund AI Index,0.6,0,500,5000,Deepak Agrawal,Low,DC01,,,,,,,,,,,
119092,Axis Mutual Fund,Axis Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,1/5/2010,NIFTY 100 TRI,1.64,1,500,1000,Shreyash Devalkar,Moderate,EC01,,,,,,,,,,,
119093,Axis Mutual Fund,Axis Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,1/1/2013,NIFTY 100 TRI,0.75,1,500,1000,Shreyash Devalkar,Moderate,EC01,,,,,,,,,,,
