investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
INV003054,1/1/2024,119092,SIP,1834,Telangana,Hyderabad,T30,56+,Female,77.1,UPI,Verified
INV002952,1/1/2024,148567,Redemption,392882,Punjab,Amritsar,B30,18-25,Male,7.1,Cheque,Verified
INV003420,1/1/2024,118636,SIP,912,Haryana,Faridabad,B30,36-45,Male,47.2,Mandate,Verified
INV003436,1/1/2024,118634,SIP,1102,Maharashtra,Mumbai,T30,36-45,Female,54.4,Cheque,Pending
INV004691,1/1/2024,119094,Lumpsum,8682,Delhi,Noida,T30,26-35,Male,14.5,Net Banking,Pending
INV001497,1/1/2024,101208,SIP,3295,Maharashtra,Mumbai,T30,36-45,Male,56.8,Mandate,Verified
INV000786,1/1/2024,101208,SIP,15047,Madhya Pradesh,Bhopal,B30,26-35,Male,17.9,Mandate,Verified
INV000616,1/1/2024,100016,SIP,933,Maharashtra,Nashik,B30,36-45,Male,50.4,Mandate,Verified
INV003670,1/1/2024,119120,SIP,10672,Punjab,Chandigarh,T30,36-45,Male,38.4,Net Banking,Verified
INV002054,1/1/2024,148567,SIP,1111,Telangana,Hyderabad,T30,26-35,Male,17.8,Net Banking,Verified
INV002592,1/1/2024,101208,Lumpsum,411860,Madhya Pradesh,Bhopal,B30,26-35,Female,15.7,Mandate,Verified
INV001023,1/1/2024,118636,SIP,4865,Gujarat,Ahmedabad,T30,36-45,Male,27.1,Net Banking,Verified
INV002893,1/1/2024,120843,SIP,8472,Telangana,Hyderabad,T30,56+,Male,69.4,UPI,Pending
INV000797,1/1/2024,102885,SIP,58257,Rajasthan,Jaipur,T30,36-45,Female,53.7,Net Banking,Verified
INV000368,1/1/2024,118636,Redemption,339882,Uttar Pradesh,Agra,B30,26-35,Male,16.2,UPI,Verified
INV000548,1/1/2024,119095,SIP,1607,Karnataka,Mysore,B30,36-45,Male,53.2,Cheque,Verified
INV000600,1/1/2024,149322,SIP,20890,Maharashtra,Mumbai,T30,26-35,Male,17.3,Net Banking,Verified
INV004347,1/1/2024,119599,SIP,1862,West Bengal,Kolkata,T30,36-45,Male,20.5,Net Banking,Verified
INV000437,1/1/2024,120504,SIP,900,Telangana,Hyderabad,T30,26-35,Female,6.1,UPI,Verified
INV000609,1/1/2024,120842,SIP,8493,Tamil Nadu,Coimbatore,B30,18-25,Male,3.9,Mandate,Verified
INV000428,1/1/2024,118636,SIP,9146,Delhi,Gurugram,T30,36-45,Male,27.2,Mandate,Verified
INV003329,1/1/2024,101207,Lumpsum,295055,Madhya Pradesh,Indore,T30,56+,Male,25.2,Mandate,Verified
INV000968,1/1/2024,100025,Lumpsum,497564,Tamil Nadu,Chennai,T30,36-45,Female,37.1,UPI,Verified
INV004154,1/1/2024,102885,SIP,1897,Karnataka,Mysore,B30,18-25,Male,4.7,Net Banking,Verified
INV000234,1/1/2024,148567,SIP,28094,Tamil Nadu,Coimbatore,B30,26-35,Male,23.8,Mandate,Verified
INV002885,1/1/2024,148567,Lumpsum,430566,Delhi,Gurugram,T30,26-35,Male,23.4,Cheque,Pending
INV002157,1/1/2024,102885,Lumpsum,112928,Punjab,Chandigarh,T30,26-35,Male,16.9,Mandate,Verified
INV001665,1/1/2024,120505,SIP,3322,Telangana,Hyderabad,T30,36-45,Male,35.1,Mandate,Verified
INV002328,1/1/2024,120841,SIP,29901,Haryana,Gurugram,T30,26-35,Male,11.6,Cheque,Verified
INV004174,1/1/2024,119599,SIP,57353,Rajasthan,Udaipur,B30,18-25,Male,4.7,Mandate,Verified
INV004918,1/1/2024,120503,Redemption,153828,Punjab,Amritsar,B30,56+,Female,46.9,UPI,Verified
INV000478,1/1/2024,120506,SIP,59382,Gujarat,Surat,T30,36-45,Female,16.5,UPI,Verified
INV000467,1/1/2024,119552,SIP,2623,Karnataka,Bangalore,T30,18-25,Female,7.1,Cheque,Verified
INV000603,1/1/2024,118636,SIP,2858,West Bengal,Kolkata,T30,26-35,Male,17.3,Mandate,Verified
INV004770,1/1/2024,102886,Lumpsum,92031,Gujarat,Surat,T30,18-25,Female,5.2,Mandate,Verified
INV004648,1/1/2024,118634,SIP,17860,Maharashtra,Pune,T30,36-45,Male,54.3,Mandate,Pending
INV002432,1/1/2024,101208,SIP,3513,Haryana,Gurugram,T30,46-55,Female,48.1,Net Banking,Verified
INV002338,1/1/2024,120844,Lumpsum,292991,Delhi,New Delhi,T30,26-35,Male,23.6,UPI,Verified
INV001041,1/1/2024,101208,SIP,8547,Madhya Pradesh,Bhopal,B30,18-25,Male,5.1,Cheque,Verified
INV001400,1/1/2024,148567,SIP,10696,Tamil Nadu,Coimbatore,B30,36-45,Male,36.5,Mandate,Verified
INV000852,1/1/2024,101208,SIP,15916,Maharashtra,Nashik,B30,26-35,Female,18.1,UPI,Verified
INV004915,1/1/2024,120504,SIP,14096,Uttar Pradesh,Kanpur,B30,26-35,Male,9.6,Cheque,Verified
INV002984,1/1/2024,120844,Redemption,230179,Delhi,Gurugram,T30,26-35,Male,18.1,Mandate,Verified
INV002782,1/1/2024,102886,Lumpsum,250209,Punjab,Chandigarh,T30,18-25,Male,3.7,UPI,Verified
INV002316,1/1/2024,118632,SIP,4715,Punjab,Amritsar,B30,26-35,Male,16.7,Cheque,Verified
INV000097,1/1/2024,125498,Redemption,527377,Karnataka,Mysore,B30,18-25,Male,6,Net Banking,Verified
INV002139,1/1/2024,125498,Redemption,359482,Haryana,Gurugram,T30,36-45,Female,28.6,Mandate,Verified
INV002219,1/1/2024,101208,Redemption,525983,Karnataka,Mysore,B30,26-35,Male,6.9,Mandate,Verified
INV000576,1/1/2024,120841,Redemption,43157,Delhi,New Delhi,T30,46-55,Male,79.7,UPI,Verified
INV002166,1/1/2024,120844,SIP,1139,Haryana,Gurugram,T30,36-45,Male,33.3,Net Banking,Verified
INV000836,1/1/2024,100016,SIP,1139,Haryana,Gurugram,T30,26-35,Male,24.4,Mandate,Verified
INV001540,1/1/2024,101207,SIP,16264,Maharashtra,Pune,T30,26-35,Female,17.3,UPI,Verified
INV003664,1/1/2024,125498,SIP,15555,Rajasthan,Udaipur,B30,46-55,Male,29.4,UPI,Verified
INV002966,1/1/2024,149324,SIP,15946,Gujarat,Ahmedabad,T30,26-35,Female,18.4,Mandate,Verified
INV002387,1/1/2024,118634,SIP,2891,Telangana,Hyderabad,T30,26-35,Male,13.1,UPI,Verified
INV000983,1/1/2024,101206,SIP,3538,Telangana,Hyderabad,T30,36-45,Male,33.5,UPI,Verified
INV004128,1/1/2024,119094,Redemption,58934,Haryana,Faridabad,B30,18-25,Male,3.3,UPI,Verified
INV000081,1/1/2024,120844,SIP,1842,Gujarat,Surat,T30,36-45,Male,31,Net Banking,Verified
INV004548,1/1/2024,119551,Lumpsum,564276,Delhi,Noida,T30,36-45,Female,58.1,Cheque,Verified
INV002253,1/1/2024,120844,Redemption,289915,West Bengal,Kolkata,T30,46-55,Male,28.6,Net Banking,Verified
INV002942,1/1/2024,148568,Redemption,233200,Delhi,Noida,T30,36-45,Male,27.8,Cheque,Verified
INV004308,1/1/2024,119599,SIP,25855,Gujarat,Surat,T30,26-35,Female,11.1,Mandate,Verified
INV000488,1/1/2024,148568,Redemption,343317,Karnataka,Mysore,B30,56+,Male,31.4,Cheque,Verified
INV002560,1/2/2024,119120,SIP,6321,Haryana,Faridabad,B30,26-35,Male,6.4,Net Banking,Verified
INV003028,1/2/2024,100033,SIP,25360,Tamil Nadu,Chennai,T30,26-35,Female,12.8,Cheque,Verified
INV002868,1/2/2024,148569,SIP,59797,Gujarat,Ahmedabad,T30,26-35,Female,24.7,Net Banking,Verified
INV001156,1/2/2024,120843,SIP,28986,Madhya Pradesh,Indore,T30,56+,Female,58.8,Cheque,Pending
INV000313,1/2/2024,120843,Lumpsum,497034,Tamil Nadu,Chennai,T30,18-25,Female,3.1,Net Banking,Verified
INV003926,1/2/2024,118632,SIP,1891,West Bengal,Kolkata,T30,46-55,Male,92.8,UPI,Verified
INV003383,1/2/2024,125497,Redemption,241316,Karnataka,Mysore,B30,18-25,Male,4.6,Net Banking,Verified
INV001017,1/2/2024,118632,Redemption,16893,West Bengal,Kolkata,T30,26-35,Female,19,Cheque,Verified
INV003225,1/2/2024,120843,SIP,3346,West Bengal,Kolkata,T30,26-35,Male,9.2,UPI,Verified
INV003892,1/2/2024,102887,SIP,7250,Punjab,Amritsar,B30,46-55,Male,24.4,Mandate,Verified
INV002135,1/2/2024,100016,Lumpsum,437305,Gujarat,Ahmedabad,T30,56+,Male,18.3,Net Banking,Verified
INV002961,1/2/2024,149322,SIP,16811,Gujarat,Ahmedabad,T30,26-35,Male,13,Net Banking,Verified
INV000983,1/2/2024,101208,SIP,10547,Telangana,Hyderabad,T30,36-45,Male,33.5,Net Banking,Verified
INV003821,1/2/2024,119092,SIP,7584,Delhi,Noida,T30,18-25,Female,6.4,UPI,Pending
INV002940,1/2/2024,102886,SIP,966,Haryana,Faridabad,B30,26-35,Male,18.3,Cheque,Verified
INV002817,1/2/2024,102886,Lumpsum,26453,Gujarat,Ahmedabad,T30,26-35,Male,15.8,UPI,Verified
INV001890,1/2/2024,120504,SIP,859,Madhya Pradesh,Bhopal,B30,26-35,Male,21.9,Mandate,Verified
INV001888,1/2/2024,120505,Redemption,410786,Delhi,New Delhi,T30,18-25,Female,6.4,UPI,Verified
INV000370,1/2/2024,118634,SIP,17394,Delhi,Noida,T30,26-35,Female,12.4,Mandate,Verified
INV002981,1/2/2024,102886,Lumpsum,100110,Maharashtra,Mumbai,T30,18-25,Female,7.3,Mandate,Verified
INV003027,1/2/2024,148569,Lumpsum,330642,Telangana,Hyderabad,T30,26-35,Male,20.8,Cheque,Verified
INV001106,1/2/2024,118636,Lumpsum,50410,Tamil Nadu,Chennai,T30,26-35,Male,13.1,Net Banking,Verified
INV003942,1/2/2024,118632,SIP,16594,Haryana,Faridabad,B30,26-35,Female,23.3,Cheque,Verified
INV000339,1/2/2024,101207,Redemption,383487,Uttar Pradesh,Kanpur,B30,26-35,Male,22.3,Cheque,Verified
INV002811,1/2/2024,125497,SIP,2631,Uttar Pradesh,Agra,B30,36-45,Male,43.7,Net Banking,Verified
INV004296,1/2/2024,100025,SIP,879,Telangana,Hyderabad,T30,26-35,Male,18.2,UPI,Verified
INV002976,1/2/2024,119599,Lumpsum,234926,Tamil Nadu,Coimbatore,B30,26-35,Male,23.7,Mandate,Verified
INV000349,1/2/2024,120505,Redemption,335222,Maharashtra,Mumbai,T30,18-25,Female,3.8,Mandate,Verified
INV002546,1/2/2024,101208,Redemption,22305,Gujarat,Surat,T30,26-35,Male,19.3,UPI,Verified
INV003505,1/2/2024,120843,Lumpsum,362856,West Bengal,Kolkata,T30,56+,Female,53.5,Net Banking,Verified
INV000006,1/2/2024,118633,SIP,8594,Madhya Pradesh,Bhopal,B30,46-55,Female,43,Cheque,Verified
INV000662,1/2/2024,120843,SIP,427,Gujarat,Surat,T30,36-45,Female,20.1,Cheque,Verified
INV001284,1/2/2024,119092,Lumpsum,6499,West Bengal,Kolkata,T30,36-45,Male,49,Cheque,Verified
INV004127,1/2/2024,148568,SIP,4185,Madhya Pradesh,Indore,T30,36-45,Female,27.3,Mandate,Verified
INV003208,1/2/2024,120506,SIP,2506,Madhya Pradesh,Bhopal,B30,46-55,Male,80,Mandate,Verified
INV002165,1/2/2024,118634,SIP,2539,Telangana,Hyderabad,T30,46-55,Male,46.2,Net Banking,Verified
INV002621,1/2/2024,148567,SIP,401,Uttar Pradesh,Agra,B30,26-35,Female,22.6,UPI,Pending
INV004502,1/2/2024,148567,SIP,10492,Rajasthan,Udaipur,B30,36-45,Male,59,Net Banking,Verified
INV001174,1/2/2024,149323,SIP,977,Maharashtra,Nashik,B30,36-45,Male,12.7,Cheque,Verified
INV004658,1/2/2024,120842,Lumpsum,17258,Punjab,Chandigarh,T30,56+,Male,48.7,Cheque,Verified
INV004656,1/2/2024,120844,Lumpsum,357937,Haryana,Gurugram,T30,18-25,Male,4.7,Mandate,Verified
INV003658,1/2/2024,125498,SIP,12014,West Bengal,Kolkata,T30,26-35,Male,6.3,UPI,Verified
INV003649,1/2/2024,119598,Redemption,483596,Haryana,Gurugram,T30,46-55,Female,79.9,Cheque,Verified
