amfi_code,date,nav,fund_house_api,scheme_name_api
125497,2026-05-25,193.5599,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-05-26,194.2258,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-05-27,195.0501,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-05-29,193.6848,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-05-31,193.6836,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-06-01,192.3195,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-06-02,193.1295,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-06-03,194.081,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-06-04,194.522,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-06-05,194.7547,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-06-08,191.9092,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-06-09,194.3813,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-06-10,193.4371,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-06-11,192.6722,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-06-12,196.5577,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-06-15,198.032,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-06-16,198.6152,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-06-17,199.8302,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-06-18,200.9565,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
125497,2026-06-19,202.0761,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth
